C,H,O,N,S,Na,m/z
19,19,9,1,0,0,404.098704
20,23,8,1,0,0,404.135089
21,27,7,1,0,0,404.171475
22,31,6,1,0,0,404.20786
18,18,9,2,0,0,405.093953
20,22,9,0,0,0,405.119105
19,22,8,2,0,0,405.130338
21,26,8,0,0,0,405.15549
20,26,7,2,0,0,405.166724
22,30,7,0,0,0,405.191876
23,34,6,0,0,0,405.228261
19,21,9,1,0,0,406.114354
20,25,8,1,0,0,406.150739
21,29,7,1,0,0,406.187125
22,33,6,1,0,0,406.22351
19,20,10,0,0,0,407.098369
18,20,9,2,0,0,407.109603
20,24,9,0,0,0,407.134755
19,24,8,2,0,0,407.145988
21,28,8,0,0,0,407.17114
22,32,7,0,0,0,407.207526
23,36,6,0,0,0,407.243911
18,19,10,1,0,0,408.093618
19,23,9,1,0,0,408.130004
20,27,8,1,0,0,408.166389
21,31,7,1,0,0,408.202775
19,22,8,0,1,0,409.096261
19,22,10,0,0,0,409.114019
18,22,9,2,0,0,409.125253
20,26,7,0,1,0,409.132647
20,26,9,0,0,0,409.150405
19,26,8,2,0,0,409.161638
21,30,8,0,0,0,409.18679
22,34,7,0,0,0,409.223176
18,21,10,1,0,0,410.109269
19,25,9,1,0,0,410.145654
20,29,8,1,0,0,410.182039
21,33,7,1,0,0,410.218425
19,24,8,0,1,0,411.111911
19,24,10,0,0,0,411.129669
18,24,9,2,0,0,411.140903
20,28,9,0,0,0,411.166055
21,32,8,0,0,0,411.20244
22,36,7,0,0,0,411.238826
18,23,10,1,0,0,412.124919
22,23,7,1,0,0,412.140175
19,27,9,1,0,0,412.161304
20,31,8,1,0,0,412.197689
18,22,9,0,1,0,413.091176
18,22,11,0,0,0,413.108934
19,26,8,0,1,0,413.127561
21,22,7,2,0,0,413.135424
19,26,10,0,0,0,413.14532
20,30,7,0,1,0,413.163947
20,30,9,0,0,0,413.181705
21,34,8,0,0,0,413.21809
21,21,8,1,0,0,414.119439
18,25,10,1,0,0,414.140569
22,25,7,1,0,0,414.155825
19,29,9,1,0,0,414.176954
23,29,6,1,0,0,414.19221
20,20,8,2,0,0,415.114688
18,24,11,0,0,0,415.124584
19,28,8,0,1,0,415.143211
21,24,7,2,0,0,415.151074
19,28,10,0,0,0,415.16097
23,28,7,0,0,0,415.176226
20,32,9,0,0,0,415.197355
24,32,6,0,0,0,415.212611
21,36,8,0,0,0,415.23374
21,23,8,1,0,0,416.135089
22,27,7,1,0,0,416.171475
23,31,6,1,0,0,416.20786
19,18,9,2,0,0,417.093953
18,26,9,0,1,0,417.122476
20,22,8,2,0,0,417.130338
18,26,11,0,0,0,417.140234
22,26,8,0,0,0,417.15549
21,26,7,2,0,0,417.166724
19,30,10,0,0,0,417.17662
23,30,7,0,0,0,417.191876
22,30,6,2,0,0,417.203109
24,34,6,0,0,0,417.228261
20,21,9,1,0,0,418.114354
21,25,8,1,0,0,418.150739
22,29,7,1,0,0,418.187125
23,33,6,1,0,0,418.22351
20,20,10,0,0,0,419.098369
19,20,9,2,0,0,419.109603
21,24,9,0,0,0,419.134755
20,24,8,2,0,0,419.145988
22,28,8,0,0,0,419.17114
21,28,7,2,0,0,419.182374
23,32,7,0,0,0,419.207526
24,36,6,0,0,0,419.243911
19,19,10,1,0,0,420.093618
20,23,9,1,0,0,420.130004
21,27,8,1,0,0,420.166389
22,31,7,1,0,0,420.202775
18,18,10,2,0,0,421.088867
20,22,10,0,0,0,421.114019
19,22,9,2,0,0,421.125253
21,26,9,0,0,0,421.150405
20,26,8,2,0,0,421.161638
22,30,8,0,0,0,421.18679
23,34,7,0,0,0,421.223176
24,38,6,0,0,0,421.259561
19,21,10,1,0,0,422.109269
20,25,9,1,0,0,422.145654
21,29,8,1,0,0,422.182039
22,33,7,1,0,0,422.218425
19,20,11,0,0,0,423.093284
18,20,10,2,0,0,423.104517
20,24,8,0,1,0,423.111911
20,24,10,0,0,0,423.129669
19,24,9,2,0,0,423.140903
21,28,9,0,0,0,423.166055
20,28,8,2,0,0,423.177288
22,32,8,0,0,0,423.20244
23,36,7,0,0,0,423.238826
19,23,10,1,0,0,424.124919
20,27,9,1,0,0,424.161304
21,31,8,1,0,0,424.197689
22,35,7,1,0,0,424.234075
19,22,9,0,1,0,425.091176
19,22,11,0,0,0,425.108934
20,26,8,0,1,0,425.127561
20,26,10,0,0,0,425.145319
21,30,9,0,0,0,425.181705
22,34,8,0,0,0,425.21809
23,38,7,0,0,0,425.254476
18,21,11,1,0,0,426.104183
19,25,10,1,0,0,426.140569
23,25,7,1,0,0,426.155825
20,29,9,1,0,0,426.176954
21,33,8,1,0,0,426.213339
19,24,9,0,1,0,427.106826
19,24,11,0,0,0,427.124584
20,28,8,0,1,0,427.143211
22,24,7,2,0,0,427.151074
20,28,10,0,0,0,427.16097
21,32,9,0,0,0,427.197355
22,36,8,0,0,0,427.23374
22,23,8,1,0,0,428.135089
19,27,10,1,0,0,428.156219
23,27,7,1,0,0,428.171475
20,31,9,1,0,0,428.192604
19,26,9,0,1,0,429.122476
21,22,8,2,0,0,429.130338
19,26,11,0,0,0,429.140234
20,30,8,0,1,0,429.158861
22,26,7,2,0,0,429.166724
20,30,10,0,0,0,429.17662
24,30,7,0,0,0,429.191876
21,34,9,0,0,0,429.213005
25,34,6,0,0,0,429.228261
21,21,9,1,0,0,430.114354
22,25,8,1,0,0,430.150739
23,29,7,1,0,0,430.187125
24,33,6,1,0,0,430.22351
20,20,9,2,0,0,431.109603
21,24,8,2,0,0,431.145988
23,28,8,0,0,0,431.17114
22,28,7,2,0,0,431.182374
24,32,7,0,0,0,431.207526
25,36,6,0,0,0,431.243911
21,23,9,1,0,0,432.130004
22,27,8,1,0,0,432.166389
23,31,7,1,0,0,432.202775
24,35,6,1,0,0,432.23916
20,22,9,2,0,0,433.125253
22,26,9,0,0,0,433.150405
21,26,8,2,0,0,433.161638
23,30,8,0,0,0,433.18679
22,30,7,2,0,0,433.198024
24,34,7,0,0,0,433.223176
20,21,10,1,0,0,434.109269
21,25,9,1,0,0,434.145654
22,29,8,1,0,0,434.182039
23,33,7,1,0,0,434.218425
19,20,10,2,0,0,435.104517
21,24,10,0,0,0,435.129669
20,24,9,2,0,0,435.140903
22,28,9,0,0,0,435.166055
21,28,8,2,0,0,435.177288
23,32,8,0,0,0,435.20244
24,36,7,0,0,0,435.238826
20,23,10,1,0,0,436.124919
21,27,9,1,0,0,436.161304
22,31,8,1,0,0,436.197689
23,35,7,1,0,0,436.234075
20,22,11,0,0,0,437.108934
19,22,10,2,0,0,437.120167
21,26,10,0,0,0,437.145319
20,26,9,2,0,0,437.156553
22,30,7,0,1,0,437.163947
22,30,9,0,0,0,437.181705
23,34,8,0,0,0,437.21809
24,38,7,0,0,0,437.254476
20,25,10,1,0,0,438.140569
21,29,9,1,0,0,438.176954
22,33,8,1,0,0,438.213339
20,24,11,0,0,0,439.124584
21,28,10,0,0,0,439.16097
22,32,9,0,0,0,439.197355
23,36,8,0,0,0,439.23374
24,40,7,0,0,0,439.270126
19,23,11,1,0,0,440.119833
20,27,10,1,0,0,440.156219
24,27,7,1,0,0,440.171475
21,31,9,1,0,0,440.192604
20,26,9,0,1,0,441.122476
22,22,8,2,0,0,441.130338
20,26,11,0,0,0,441.140234
23,26,7,2,0,0,441.166724
21,30,10,0,0,0,441.17662
22,34,9,0,0,0,441.213005
23,38,8,0,0,0,441.24939
23,25,8,1,0,0,442.150739
20,29,10,1,0,0,442.171869
24,29,7,1,0,0,442.187125
19,24,10,0,1,0,443.101741
19,24,12,0,0,0,443.119499
20,28,9,0,1,0,443.138126
22,24,8,2,0,0,443.145988
20,28,11,0,0,0,443.155884
23,28,7,2,0,0,443.182374
21,32,10,0,0,0,443.19227
25,32,7,0,0,0,443.207526
22,36,9,0,0,0,443.228655
22,23,9,1,0,0,444.130004
23,27,8,1,0,0,444.166389
24,31,7,1,0,0,444.202775
19,26,10,0,1,0,445.117391
21,22,9,2,0,0,445.125253
22,26,8,2,0,0,445.161638
24,30,8,0,0,0,445.18679
23,30,7,2,0,0,445.198024
25,34,7,0,0,0,445.223176
22,25,9,1,0,0,446.145654
23,29,8,1,0,0,446.182039
24,33,7,1,0,0,446.218425
20,20,10,2,0,0,447.104517
21,24,9,2,0,0,447.140903
23,28,9,0,0,0,447.166055
22,28,8,2,0,0,447.177288
24,32,8,0,0,0,447.20244
25,36,7,0,0,0,447.238826
21,23,10,1,0,0,448.124919
22,27,9,1,0,0,448.161304
23,31,8,1,0,0,448.197689
24,35,7,1,0,0,448.234075
20,22,10,2,0,0,449.120167
22,26,10,0,0,0,449.145319
21,26,9,2,0,0,449.156553
23,30,9,0,0,0,449.181705
22,30,8,2,0,0,449.192938
24,34,8,0,0,0,449.21809
25,38,7,0,0,0,449.254476
21,25,10,1,0,0,450.140569
22,29,9,1,0,0,450.176954
23,33,8,1,0,0,450.213339
24,37,7,1,0,0,450.249725
21,24,11,0,0,0,451.124584
20,24,10,2,0,0,451.135817
22,28,8,0,1,0,451.143211
22,28,10,0,0,0,451.16097
21,28,9,2,0,0,451.172203
23,32,9,0,0,0,451.197355
24,36,8,0,0,0,451.23374
25,40,7,0,0,0,451.270126
20,23,11,1,0,0,452.119833
21,27,10,1,0,0,452.156219
22,31,9,1,0,0,452.192604
23,35,8,1,0,0,452.228989
21,26,9,0,1,0,453.122476
21,26,11,0,0,0,453.140234
20,26,10,2,0,0,453.151467
22,30,8,0,1,0,453.158861
22,30,10,0,0,0,453.17662
23,34,9,0,0,0,453.213005
24,38,8,0,0,0,453.24939
20,25,11,1,0,0,454.135483
21,29,10,1,0,0,454.171869
22,33,9,1,0,0,454.208254
20,24,12,0,0,0,455.119499
21,28,9,0,1,0,455.138126
21,28,11,0,0,0,455.155884
22,32,8,0,1,0,455.174511
22,32,10,0,0,0,455.19227
23,36,9,0,0,0,455.228655
24,40,8,0,0,0,455.26504
20,27,11,1,0,0,456.151133
24,27,8,1,0,0,456.166389
21,31,10,1,0,0,456.187519
20,26,10,0,1,0,457.11739
20,26,12,0,0,0,457.135149
21,30,9,0,1,0,457.153776
23,26,8,2,0,0,457.161638
21,30,11,0,0,0,457.171534
22,34,8,0,1,0,457.190161
24,30,7,2,0,0,457.198024
22,34,10,0,0,0,457.20792
26,34,7,0,0,0,457.223176
23,38,9,0,0,0,457.244305
23,25,9,1,0,0,458.145654
24,29,8,1,0,0,458.182039
25,33,7,1,0,0,458.218425
20,28,10,0,1,0,459.13304
22,24,9,2,0,0,459.140903
23,28,8,2,0,0,459.177288
21,32,11,0,0,0,459.187184
26,36,7,0,0,0,459.238826
23,27,9,1,0,0,460.161304
24,31,8,1,0,0,460.197689
25,35,7,1,0,0,460.234075
21,22,10,2,0,0,461.120167
22,26,9,2,0,0,461.156553
24,30,9,0,0,0,461.181705
23,30,8,2,0,0,461.192938
25,34,8,0,0,0,461.21809
26,38,7,0,0,0,461.254476
22,25,10,1,0,0,462.140569
23,29,9,1,0,0,462.176954
24,33,8,1,0,0,462.213339
25,37,7,1,0,0,462.249725
21,24,10,2,0,0,463.135817
23,28,10,0,0,0,463.16097
22,28,9,2,0,0,463.172203
24,32,9,0,0,0,463.197355
23,32,8,2,0,0,463.208588
25,36,8,0,0,0,463.23374
26,40,7,0,0,0,463.270126
21,23,11,1,0,0,464.119833
22,27,10,1,0,0,464.156219
23,31,9,1,0,0,464.192604
24,35,8,1,0,0,464.228989
22,26,11,0,0,0,465.140234
21,26,10,2,0,0,465.151467
23,30,8,0,1,0,465.158861
23,30,10,0,0,0,465.17662
22,30,9,2,0,0,465.187853
24,34,9,0,0,0,465.213005
25,38,8,0,0,0,465.24939
26,42,7,0,0,0,465.285776
21,25,11,1,0,0,466.135483
22,29,10,1,0,0,466.171869
23,33,9,1,0,0,466.208254
21,24,12,0,0,0,467.119499
22,28,9,0,1,0,467.138126
22,28,11,0,0,0,467.155884
23,32,8,0,1,0,467.174511
23,32,10,0,0,0,467.19227
24,36,9,0,0,0,467.228655
25,40,8,0,0,0,467.26504
21,27,11,1,0,0,468.151133
22,31,10,1,0,0,468.187519
23,35,9,1,0,0,468.223904
21,26,12,0,0,0,469.135149
22,30,9,0,1,0,469.153776
22,30,11,0,0,0,469.171534
23,34,8,0,1,0,469.190161
23,34,10,0,0,0,469.20792
24,38,9,0,0,0,469.244305
24,25,9,1,0,0,470.145654
21,29,11,1,0,0,470.166783
25,29,8,1,0,0,470.182039
23,24,9,2,0,0,471.140903
21,28,12,0,0,0,471.150799
22,32,9,0,1,0,471.169426
22,32,11,0,0,0,471.187184
25,32,7,2,0,0,471.213674
23,36,10,0,0,0,471.223569
24,27,9,1,0,0,472.161304
25,31,8,1,0,0,472.197689
23,26,9,2,0,0,473.156553
22,34,11,0,0,0,473.202834
26,34,8,0,0,0,473.21809
27,38,7,0,0,0,473.254476
23,25,10,1,0,0,474.140569
24,29,9,1,0,0,474.176954
25,33,8,1,0,0,474.213339
20,28,11,0,1,0,475.127955
23,28,9,2,0,0,475.172203
25,32,9,0,0,0,475.197355
24,32,8,2,0,0,475.208588
26,36,8,0,0,0,475.23374
27,40,7,0,0,0,475.270126
22,23,11,1,0,0,476.119833
23,27,10,1,0,0,476.156219
24,31,9,1,0,0,476.192604
25,35,8,1,0,0,476.228989
22,26,10,2,0,0,477.151467
24,30,10,0,0,0,477.17662
23,30,9,2,0,0,477.187853
25,34,9,0,0,0,477.213005
26,38,8,0,0,0,477.24939
27,42,7,0,0,0,477.285776
22,25,11,1,0,0,478.135483
23,29,10,1,0,0,478.171869
24,33,9,1,0,0,478.208254
25,37,8,1,0,0,478.244639
21,24,11,2,0,0,479.130732
23,28,11,0,0,0,479.155884
22,28,10,2,0,0,479.167118
24,32,8,0,1,0,479.174511
24,32,10,0,0,0,479.19227
25,36,9,0,0,0,479.228655
26,40,8,0,0,0,479.26504
27,44,7,0,0,0,479.301426
22,27,11,1,0,0,480.151133
23,31,10,1,0,0,480.187519
24,35,9,1,0,0,480.223904
22,26,12,0,0,0,481.135149
23,30,11,0,0,0,481.171534
24,34,8,0,1,0,481.190161
24,34,10,0,0,0,481.20792
25,38,9,0,0,0,481.244305
26,42,8,0,0,0,481.28069
22,29,11,1,0,0,482.166783
23,33,10,1,0,0,482.203169
24,37,9,1,0,0,482.239554
22,28,12,0,0,0,483.150799
23,32,9,0,1,0,483.169426
23,32,11,0,0,0,483.187184
24,36,8,0,1,0,483.205811
24,36,10,0,0,0,483.223569
25,40,9,0,0,0,483.259955
22,31,11,1,0,0,484.182433
22,30,10,0,1,0,485.148691
22,30,12,0,0,0,485.166449
23,34,9,0,1,0,485.185076
23,34,11,0,0,0,485.202834
24,38,8,0,1,0,485.221461
24,38,10,0,0,0,485.239219
25,29,9,1,0,0,486.176954
26,33,8,1,0,0,486.213339
23,24,10,2,0,0,487.135817
24,28,9,2,0,0,487.172203
25,31,9,1,0,0,488.192604
26,35,8,1,0,0,488.228989
24,30,9,2,0,0,489.187853
26,34,9,0,0,0,489.213005
25,34,8,2,0,0,489.224238
27,38,8,0,0,0,489.24939
23,25,11,1,0,0,490.135483
24,29,10,1,0,0,490.171869
25,33,9,1,0,0,490.208254
26,37,8,1,0,0,490.244639
23,28,10,2,0,0,491.167118
25,32,10,0,0,0,491.19227
24,32,9,2,0,0,491.203503
26,36,9,0,0,0,491.228655
27,40,8,0,0,0,491.26504
23,27,11,1,0,0,492.151133
24,31,10,1,0,0,492.187519
25,35,9,1,0,0,492.223904
26,39,8,1,0,0,492.260289
22,26,11,2,0,0,493.146382
24,30,11,0,0,0,493.171534
23,30,10,2,0,0,493.182768
25,34,10,0,0,0,493.20792
26,38,9,0,0,0,493.244305
27,42,8,0,0,0,493.28069
23,29,11,1,0,0,494.166783
24,33,10,1,0,0,494.203169
25,37,9,1,0,0,494.239554
24,32,11,0,0,0,495.187184
25,36,10,0,0,0,495.223569
26,40,9,0,0,0,495.259955
27,44,8,0,0,0,495.29634
23,31,11,1,0,0,496.182433
27,31,8,1,0,0,496.197689
24,35,10,1,0,0,496.218818
23,30,12,0,0,0,497.166449
24,34,9,0,1,0,497.185076
24,34,11,0,0,0,497.202834
25,38,10,0,0,0,497.239219
26,42,9,0,0,0,497.275605
23,33,11,1,0,0,498.198083
23,32,10,0,1,0,499.16434
23,32,12,0,0,0,499.182099
24,36,9,0,1,0,499.200726
24,36,11,0,0,0,499.218484
25,40,10,0,0,0,499.254869
24,38,11,0,0,0,501.234134
28,38,8,0,0,0,501.24939
26,33,9,1,0,0,502.208254
27,37,8,1,0,0,502.244639
28,40,8,0,0,0,503.26504
25,31,10,1,0,0,504.187519
26,35,9,1,0,0,504.223904
26,34,10,0,0,0,505.20792
27,38,9,0,0,0,505.244305
28,42,8,0,0,0,505.28069
24,29,11,1,0,0,506.166783
25,33,10,1,0,0,506.203169
26,37,9,1,0,0,506.239554
25,32,11,0,0,0,507.187184
26,36,10,0,0,0,507.223569
27,40,9,0,0,0,507.259955
24,31,11,1,0,0,508.182433
25,35,10,1,0,0,508.218818
26,39,9,1,0,0,508.255204
24,30,12,0,0,0,509.166449
25,34,11,0,0,0,509.202834
26,38,10,0,0,0,509.239219
27,42,9,0,0,0,509.275605
24,33,11,1,0,0,510.198083
24,32,10,0,1,0,511.16434
24,32,12,0,0,0,511.182099
25,36,11,0,0,0,511.218484
26,40,10,0,0,0,511.25487
24,34,12,0,0,0,513.197749
25,38,11,0,0,0,513.234134
26,42,10,0,0,0,513.270519
25,40,11,0,0,0,515.249784
26,31,10,1,0,0,516.187519
27,35,9,1,0,0,516.223904
28,38,9,0,0,0,517.244305
25,29,11,1,0,0,518.166783
27,37,9,1,0,0,518.239554
28,40,9,0,0,0,519.259955
25,31,11,1,0,0,520.182433
26,35,10,1,0,0,520.218818
27,39,9,1,0,0,520.255204
26,34,11,0,0,0,521.202834
27,38,10,0,0,0,521.239219
28,42,9,0,0,0,521.275605
24,29,12,1,0,0,522.161698
25,33,11,1,0,0,522.198083
25,32,12,0,0,0,523.182099
26,36,11,0,0,0,523.218484
27,40,10,0,0,0,523.25487
28,44,9,0,0,0,523.291255
25,34,12,0,0,0,525.197749
26,38,9,0,1,0,525.216376
26,38,11,0,0,0,525.234134
27,42,10,0,0,0,525.270519
25,36,12,0,0,0,527.213399
27,35,10,1,0,0,532.218818
28,38,10,0,0,0,533.239219
26,33,11,1,0,0,534.198083
27,37,10,1,0,0,534.234469
29,44,9,0,0,0,535.291255
26,35,11,1,0,0,536.213733
27,39,10,1,0,0,536.250118
27,38,11,0,0,0,537.234134
28,42,10,0,0,0,537.270519
27,40,11,0,0,0,539.249784
28,44,10,0,0,0,539.286169
27,42,11,0,0,0,541.265434
29,40,10,0,0,0,547.25487
28,39,10,1,0,0,548.250118
28,38,11,0,0,0,549.234134
27,40,12,0,0,0,555.244699
27,42,12,0,0,0,557.260349
29,38,11,0,0,0,561.234134
30,42,10,0,0,0,561.270519
28,36,12,0,0,0,563.213399
29,40,11,0,0,0,563.249784
30,44,10,0,0,0,563.286169
27,35,12,1,0,0,564.208648
28,38,12,0,0,0,565.229049
29,42,11,0,0,0,565.265434
30,46,10,0,0,0,565.301819
28,40,12,0,0,0,567.244699
29,44,11,0,0,0,567.281084
30,40,11,0,0,0,575.249784
31,44,10,0,0,0,575.286169
29,38,12,0,0,0,577.229049
30,42,11,0,0,0,577.265434
29,40,12,0,0,0,579.244699
28,40,13,0,0,0,583.239613
31,42,12,0,0,0,605.260349
